,year,month,day,scan,# shots,scan_parameter,scan_info_txt,ESP4_3_Probe Delay MEAN,LongProbeImaging MEAN,Drive Ghost Stage MEAN,HTT_LowPressureControl pressure MEAN,HTT_ProbeLongDelay position MEAN,HTT_TC_Pressure MEAN,HTT-Hexapod xpos MEAN,HTT-Hexapod ypos MEAN,HTT-Hexapod zpos MEAN,ScatterDelay MEAN,HTT-HOFI_GasCellLength position MEAN,sfilename
27,2025,10,16,28,6,Shotnumber,test,197.1,,,71.37,,9e-05,-8.75,5.5,-2.1,-585.0,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s28.txt
28,2025,10,16,29,20,Shotnumber,jkljklfjsdklfjs,197.09999999999997,,,71.36600000000001,,8.900000000000002e-05,-8.75,5.5,-2.1000000000000005,-585.0000004999999,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s29.txt
29,2025,10,16,30,12,Shotnumber,test,197.1,,,71.35666666666667,0.720725,9e-05,-8.75,5.5,-2.1000000000000005,-585.00000125,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s30.txt
30,2025,10,16,31,4,Shotnumber,test,197.1,,,71.34,0.720725,8.5e-05,-8.75,5.5,-2.1,-585.0,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s31.txt
31,2025,10,16,32,11,Shotnumber,test scan,197.1,,,71.32909090909092,0.720725,8.181818181818182e-05,-8.75,5.5,-2.1000000000000005,-584.9999986363637,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s32.txt
32,2025,10,16,33,8,Shotnumber,test,197.1,,,131.34750000000003,452.999969,0.09030875,-8.75,5.5,-2.1,-440.80000125000004,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s33.txt
33,2025,10,16,34,32,Shotnumber,no gas scan,197.1,,,71.07062499999999,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s34.txt
34,2025,10,16,35,9,Shotnumber,teset,197.1,,,70.98444444444446,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s35.txt
35,2025,10,16,36,6,Shotnumber,test,197.1,,,70.93666666666667,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s36.txt
36,2025,10,16,37,13,Shotnumber,test scan,197.09999999999997,,,70.85538461538462,0.7551419999999999,3.076923076923078e-05,-8.75,5.5,-2.1000000000000005,-440.8000003846155,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s37.txt
37,2025,10,16,38,17,HTT_ProbeLongDelay position,scanning hydrogen plasma timing,197.1,,,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s38.txt
38,2025,10,16,39,13,Shotnumber,test,197.09999999999997,,,130.98153846153846,0.755777,0.09402923076923077,-8.75,5.5,-2.1000000000000005,-440.7999992307693,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s39.txt
39,2025,10,16,40,110,HTT_ProbeLongDelay position,timing scan in hydrogen,197.09999999999988,,,130.916,479.9999944545453,0.09400018181818179,-8.75,5.5,-2.1,-440.79999977272746,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s40.txt
40,2025,10,16,41,110,HTT_ProbeLongDelay position,again tip tilt focus removed,197.09999999999988,,,130.93818181818182,479.9999944545453,0.09467845454545454,-8.75,5.5,-2.1,-440.8000001363639,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s41.txt
41,2025,10,16,42,4,HTT_ProbeLongDelay position,another one with probe moved up,197.1,,,131.035,529.999939,0.0948675,-8.75,5.5,-2.1,-440.8,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s42.txt
